                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5722,                  6.287,                 4.1196,                      0,                      0,                      0,                      0,                 6.2482,                 7.4401,                   3.92,             0.00014389,             0.00014389,             0.00014389
                      2,                 4.2359,                 4.9684,                 3.1996,                0.48212,                0.01654,                0.00588,                0.00166,                 3.8129,                 4.6535,                 2.5584,             0.00028603,             0.00028603,             0.00028603
                      3,                 3.3548,                 3.9531,                 2.4213,                0.45094,                0.05358,                 0.0351,                0.01216,                   2.75,                 3.8836,                 1.8892,              0.0004253,              0.0004253,              0.0004253
                      4,                 2.6331,                 3.2463,                  1.939,                0.67787,                0.07248,                0.05187,                0.02435,                 2.3187,                 3.0639,                 1.6154,             0.00042208,             0.00042208,             0.00042208
                      5,                   2.25,                 2.7183,                 1.6592,                0.69439,                0.10677,                0.12926,                0.06071,                  2.071,                 2.4928,                 1.4134,             0.00041777,             0.00041777,             0.00041777
                      6,                 2.1407,                 2.5183,                 1.5485,                0.71712,                0.11942,                0.14952,                0.06429,                 2.1012,                 2.3783,                 1.4034,             0.00041347,             0.00041347,             0.00041347
                      7,                 2.0068,                 2.3124,                 1.4809,                0.62054,                0.13758,                0.17351,                0.08993,                 1.9114,                 2.1151,                 1.3049,             0.00040916,             0.00040916,             0.00040916
                      8,                 1.9857,                 2.2326,                 1.4365,                0.51098,                0.18838,                0.18759,                0.08071,                 1.9996,                 1.9237,                 1.3314,             0.00040485,             0.00040485,             0.00040485
                      9,                 1.9304,                 2.1071,                  1.393,                0.39521,                0.24457,                0.21652,                0.09773,                 1.8675,                 1.8762,                 1.2744,             0.00040055,             0.00040055,             0.00040055
                     10,                 1.8922,                  2.039,                 1.3759,                0.49969,                0.31764,                0.27455,                0.12457,                 1.8696,                 1.8822,                 1.2645,             0.00039624,             0.00039624,             0.00039624
                     11,                  1.859,                 1.9672,                 1.3587,                0.69705,                0.24291,                0.28789,                0.14969,                 1.6773,                 1.7677,                 1.2017,             0.00039193,             0.00039193,             0.00039193
                     12,                 1.8445,                 1.9276,                 1.3385,                0.51332,                0.31301,                0.30919,                 0.1573,                 1.6913,                 1.7353,                 1.1901,             0.00038763,             0.00038763,             0.00038763
                     13,                 1.7948,                 1.8545,                 1.3187,                0.53885,                0.36875,                 0.3521,                0.17403,                  1.798,                 1.5738,                 1.2256,             0.00038332,             0.00038332,             0.00038332
                     14,                 1.7825,                 1.8036,                 1.2925,                0.52991,                0.38621,                0.38386,                0.19217,                 1.7368,                 1.5713,                 1.2027,             0.00037902,             0.00037902,             0.00037902
                     15,                 1.7507,                 1.7538,                 1.2787,                0.52934,                0.43488,                0.40002,                0.20271,                   1.69,                 1.5282,                 1.1815,             0.00037471,             0.00037471,             0.00037471
                     16,                 1.7291,                 1.7006,                 1.2731,                0.60542,                0.43067,                0.43642,                0.20134,                 1.8671,                 1.4701,                 1.2503,              0.0003704,              0.0003704,              0.0003704
                     17,                 1.7274,                 1.6775,                 1.2698,                0.42525,                 0.4657,                0.42827,                0.23353,                 1.5565,                 1.4603,                 1.1328,              0.0003661,              0.0003661,              0.0003661
                     18,                  1.699,                 1.6421,                 1.2569,                 0.5551,                0.44503,                0.43974,                0.22786,                 1.6258,                  1.394,                 1.1643,             0.00036179,             0.00036179,             0.00036179
                     19,                 1.6907,                 1.6147,                 1.2418,                0.52375,                0.46948,                0.46214,                0.24399,                 1.6209,                 1.3685,                  1.148,             0.00035748,             0.00035748,             0.00035748
                     20,                 1.6822,                 1.6013,                 1.2476,                0.58413,                 0.4508,                0.47138,                0.21261,                 1.7863,                 1.4852,                 1.2122,             0.00035318,             0.00035318,             0.00035318
                     21,                 1.6752,                  1.559,                 1.2412,                0.53343,                0.47723,                0.49495,                0.25435,                  1.652,                 1.3063,                 1.1734,             0.00034887,             0.00034887,             0.00034887
                     22,                 1.6414,                 1.5257,                 1.2243,                0.55533,                0.46363,                0.48555,                0.26541,                 1.5779,                 1.2954,                 1.1286,             0.00034456,             0.00034456,             0.00034456
                     23,                 1.6426,                 1.5145,                 1.2158,                0.59324,                0.52551,                0.54432,                0.24365,                 1.7364,                 1.3265,                 1.1866,             0.00034026,             0.00034026,             0.00034026
                     24,                  1.621,                 1.4783,                  1.213,                0.61295,                0.52878,                0.52656,                0.26924,                 1.5987,                 1.2518,                 1.1351,             0.00033595,             0.00033595,             0.00033595
                     25,                 1.6275,                 1.4757,                 1.2092,                0.57515,                0.52089,                0.53712,                0.30263,                  1.519,                 1.2039,                 1.1128,             0.00033164,             0.00033164,             0.00033164
                     26,                 1.6094,                 1.4419,                 1.2009,                0.64198,                0.49115,                 0.5282,                0.28146,                 1.6059,                 1.2041,                 1.1354,             0.00032734,             0.00032734,             0.00032734
                     27,                  1.634,                 1.4494,                 1.2086,                0.61866,                0.55563,                0.56366,                 0.2931,                 1.6526,                 1.2488,                 1.1536,             0.00032303,             0.00032303,             0.00032303
                     28,                 1.5992,                 1.4196,                 1.1941,                0.57624,                0.55096,                0.56315,                0.31574,                  1.528,                 1.2302,                 1.1068,             0.00031872,             0.00031872,             0.00031872
                     29,                 1.5878,                 1.4047,                 1.1933,                0.59651,                0.52017,                 0.5542,                0.31307,                 1.5368,                 1.2642,                 1.1134,             0.00031442,             0.00031442,             0.00031442
                     30,                 1.5783,                 1.3821,                 1.1846,                0.58934,                0.59149,                0.60108,                0.33777,                 1.5131,                 1.1152,                 1.1023,             0.00031011,             0.00031011,             0.00031011
                     31,                 1.5696,                 1.3564,                 1.1874,                0.60345,                0.57287,                0.58307,                0.32852,                 1.5049,                 1.1488,                 1.1003,              0.0003058,              0.0003058,              0.0003058
                     32,                 1.5711,                 1.3341,                 1.1786,                0.67596,                0.59357,                0.60595,                 0.3383,                 1.5132,                 1.1242,                 1.1022,              0.0003015,              0.0003015,              0.0003015
                     33,                 1.5645,                 1.3337,                 1.1795,                0.67174,                0.57306,                0.58496,                0.29647,                 1.6251,                 1.1595,                 1.1391,             0.00029719,             0.00029719,             0.00029719
                     34,                  1.562,                 1.3252,                 1.1765,                0.64495,                0.60005,                0.59746,                0.31323,                 1.5858,                 1.1406,                 1.1294,             0.00029289,             0.00029289,             0.00029289
                     35,                 1.5313,                 1.2769,                 1.1669,                0.71975,                0.56167,                0.62055,                 0.3298,                 1.6192,                  1.104,                 1.1312,             0.00028858,             0.00028858,             0.00028858
                     36,                 1.5437,                 1.2881,                  1.165,                0.65454,                0.59666,                0.61291,                0.32992,                 1.5611,                 1.0768,                 1.1178,             0.00028427,             0.00028427,             0.00028427
                     37,                 1.5265,                 1.2662,                  1.163,                0.71343,                0.60389,                0.62514,                0.34449,                 1.5481,                 1.0639,                 1.1055,             0.00027997,             0.00027997,             0.00027997
                     38,                 1.5202,                 1.2624,                 1.1531,                0.76556,                0.55544,                0.63102,                0.34757,                 1.5243,                 1.0539,                 1.1013,             0.00027566,             0.00027566,             0.00027566
                     39,                  1.515,                 1.2509,                 1.1604,                 0.6841,                0.57902,                0.59792,                0.31351,                 1.5452,                 1.1189,                  1.116,             0.00027135,             0.00027135,             0.00027135
                     40,                 1.5158,                   1.25,                 1.1465,                0.72661,                0.59453,                0.64738,                 0.3412,                 1.5425,                 1.0663,                 1.1081,             0.00026705,             0.00026705,             0.00026705
                     41,                 1.5152,                 1.2368,                 1.1547,                0.72913,                0.61657,                 0.6483,                0.34337,                  1.585,                 1.0734,                 1.1207,             0.00026274,             0.00026274,             0.00026274
                     42,                 1.5019,                 1.2304,                 1.1464,                0.67706,                0.61399,                0.66105,                0.35194,                 1.5597,                 1.0255,                 1.1198,             0.00025843,             0.00025843,             0.00025843
                     43,                 1.5148,                 1.2268,                  1.144,                0.63305,                0.60849,                0.65111,                0.36977,                 1.4485,                  1.036,                 1.0732,             0.00025413,             0.00025413,             0.00025413
                     44,                 1.5023,                 1.1927,                  1.144,                0.74495,                0.58562,                0.65991,                0.37167,                 1.4641,                0.98287,                 1.0787,             0.00024982,             0.00024982,             0.00024982
                     45,                 1.4877,                   1.19,                 1.1326,                0.71505,                0.61801,                 0.6611,                0.37528,                 1.4597,                0.99084,                 1.0813,             0.00024551,             0.00024551,             0.00024551
                     46,                 1.4672,                 1.1666,                 1.1381,                0.68033,                0.59896,                0.65525,                0.33079,                 1.6358,                  1.032,                  1.146,             0.00024121,             0.00024121,             0.00024121
                     47,                  1.456,                 1.1606,                 1.1289,                0.77194,                0.62731,                0.69604,                0.39599,                 1.4439,                0.95125,                 1.0667,              0.0002369,              0.0002369,              0.0002369
                     48,                 1.4631,                 1.1433,                  1.132,                0.68543,                 0.6559,                0.69597,                 0.3706,                 1.5544,                0.99591,                 1.0997,             0.00023259,             0.00023259,             0.00023259
                     49,                 1.4764,                 1.1497,                 1.1305,                0.77352,                0.60351,                0.68508,                0.37369,                  1.545,                0.96789,                 1.0979,             0.00022829,             0.00022829,             0.00022829
                     50,                 1.4679,                 1.1355,                 1.1373,                0.67615,                0.64073,                0.68326,                0.39702,                 1.4255,                0.96021,                 1.0556,             0.00022398,             0.00022398,             0.00022398
                     51,                 1.4532,                 1.1295,                 1.1274,                0.67518,                0.64391,                0.68304,                0.35321,                 1.5991,                0.99872,                 1.1151,             0.00021968,             0.00021968,             0.00021968
                     52,                  1.445,                   1.12,                 1.1233,                0.73951,                0.60781,                0.69301,                0.38396,                 1.4872,                0.95761,                 1.0765,             0.00021537,             0.00021537,             0.00021537
                     53,                 1.4548,                 1.0973,                 1.1081,                0.73886,                0.64657,                0.70885,                0.38055,                   1.55,                0.97234,                 1.1061,             0.00021106,             0.00021106,             0.00021106
                     54,                 1.4632,                 1.1177,                 1.1217,                 0.7923,                0.63345,                0.70027,                0.39752,                 1.4174,                0.92539,                 1.0634,             0.00020676,             0.00020676,             0.00020676
